""
Pairwise,comparisons,using,t,tests,with,pooled,SD
""
data:,data$`Mega,Meals`,and,"interaction(data$Sex,","data$Order,","data$Phase,",data$Hour)
""
F.1.NR.0,M.1.NR.0,F.2.NR.0,M.2.NR.0,F.1.PR.0,M.1.PR.0,F.2.PR.0
M.1.NR.0,1.00000,-,-,-,-,-,-
F.2.NR.0,1.00000,1.00000,-,-,-,-,-
M.2.NR.0,1.00000,1.00000,1.00000,-,-,-,-
F.1.PR.0,1.00000,1.00000,1.00000,1.00000,-,-,-
M.1.PR.0,1.00000,1.00000,1.00000,1.00000,1.00000,-,-
F.2.PR.0,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-
M.2.PR.0,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.2,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.PR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.PR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.PR.3,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.NR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.1.NR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.2.NR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
M.2.NR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
F.1.PR.4,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
