"","time_phase","sex","order","mean_value","sd_value","n"
"1","G0","F",1,40.3966666666666,8.18965641661615,5
"2","G0","F",2,38.5722222222222,16.9614224595654,6
"3","G0","M",1,48.3416666666666,11.1773120899237,6
"4","G0","M",2,43.1472222222222,7.85495184698915,6
"5","G1","F",1,32.13,4.58189977580867,5
"6","G1","F",2,32.7472222222222,8.65686892759902,6
"7","G1","M",1,39.1583333333333,5.19101520792308,6
"8","G1","M",2,41.3416666666666,7.33695933082786,6
"9","G2","F",1,33.4966666666666,5.12927870172794,5
"10","G2","F",2,30.3611111111111,6.74083465543043,6
"11","G2","M",1,34.3305555555555,3.97399067083099,6
"12","G2","M",2,25.325,13.1678090221739,6
"13","NR0","F",1,26.7166666666667,5.37215040742531,5
"14","NR0","F",2,27.7111111111111,8.32692864991293,6
"15","NR0","M",1,23.9388888888889,3.05025803401516,6
"16","NR0","M",2,31.9083333333333,3.67215876563092,6
"17","NR1","F",1,35.15,7.32184706508162,5
"18","NR1","F",2,34.4027777777778,11.0096796636549,6
"19","NR1","M",1,27.9027777777778,9.07376815432918,6
"20","NR1","M",2,29.8833333333333,5.82051925900468,6
"21","NR2","F",1,31.45,11.5733830164064,5
"22","NR2","F",2,40.1138888888889,8.50036219271905,6
"23","NR2","M",1,32.9333333333333,2.1531888496419,6
"24","NR2","M",2,29.15,4.26252403056113,6
"25","NR3","F",1,32.8733333333333,10.9115993328201,5
"26","NR3","F",2,36.5388888888889,6.30644878646425,6
"27","NR3","M",1,33.8111111111111,4.90707727750516,6
"28","NR3","M",2,34.925,7.40297049988869,6
"29","NR4","F",1,36.3133333333333,13.6005381837959,5
"30","NR4","F",2,38.4138888888889,4.38615772967977,6
"31","NR4","M",1,36.95,6.72990836985665,6
"32","NR4","M",2,36.7833333333333,5.45008664559054,6
"33","NR5","F",1,39.7,9.78920891140397,5
"34","NR5","F",2,41.8833333333333,6.0805975583545,6
"35","NR5","M",1,35.7583333333333,5.93214173427738,6
"36","NR5","M",2,39.5,3.54225289265962,6
"37","NR6","F",1,39.9366666666667,12.3346530825422,5
"38","NR6","F",2,37.3833333333333,9.55175958193623,6
"39","NR6","M",1,34.6555555555555,2.49291588900019,6
"40","NR6","M",2,44.7111111111111,5.37867875831835,6
"41","PR0","F",1,32.4933333333333,4.98323021075019,5
"42","PR0","F",2,39.6777777777778,6.57467081277049,6
"43","PR0","M",1,32.4277777777778,3.18708621134077,6
"44","PR0","M",2,48.2527777777778,10.657253224743,6
"45","PR1","F",1,29.4666666666667,8.68561230490465,5
"46","PR1","F",2,41.1388888888889,11.1856190742432,6
"47","PR1","M",1,31.2194444444444,5.36251823790388,6
"48","PR1","M",2,41.1277777777778,11.0946416829961,6
"49","PR2","F",1,28.6333333333333,4.02568144680017,5
"50","PR2","F",2,35.625,5.99233538224733,6
"51","PR2","M",1,29.8222222222222,3.89727350089017,6
"52","PR2","M",2,37.8888888888889,7.16794303879482,6
"53","PR3","F",1,30.4766666666667,5.37387714369759,5
"54","PR3","F",2,32.1888888888889,7.30479801733586,6
"55","PR3","M",1,28.4861111111111,4.00564069874064,6
"56","PR3","M",2,38.3638888888889,10.3837341638346,6
"57","PR4","F",1,38.06,11.3395914094527,5
"58","PR4","F",2,28.4805555555555,9.4653075119774,6
"59","PR4","M",1,29.4361111111111,3.07053047654756,6
"60","PR4","M",2,38.0944444444444,7.21941569401312,6
"61","PR5","F",1,34.9566666666666,8.10248247281175,5
"62","PR5","F",2,36.3666666666667,11.7901559691879,6
"63","PR5","M",1,30.4361111111111,4.42080204722409,6
"64","PR5","M",2,37.5027777777778,8.43547678074681,6
"65","PR6","F",1,30.7866666666667,5.46730687308152,5
"66","PR6","F",2,40.4,11.2121313267767,6
"67","PR6","M",1,30.8222222222222,4.49653776275167,6
"68","PR6","M",2,35.2805555555555,5.39459005410531,6
