Mouse,Sex,Order,G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6
FEDXA01,M,2.0,30,18,25,13,14,14,19,18,12,13,32,44,52,62,28,25,13
FEDXA02,M,2.0,29,20,9,13,16,16,13,16,12,12,10,24,32,32,22,16,17
FEDXA03,M,2.0,38,13,15,7,10,15,12,12,7,11,18,42,43,29,25,26,27
FEDXA04,M,2.0,57,22,17,15,17,10,9,10,9,6,27,39,35,27,36,18,18
FEDXA05,M,2.0,13,6,8,13,25,10,13,13,5,8,14,25,26,30,37,37,26
FEDXA06,M,2.0,23,19,1,23,16,10,15,13,11,17,27,34,39,51,66,45,35
FEDXA07,M,1.0,29,11,4,7,5,8,4,7,9,3,4,5,17,10,11,7,6
FEDXA08,M,1.0,16,4,18,13,18,20,6,8,10,10,10,9,11,16,10,14,11
FEDXA09,M,1.0,36,10,13,9,5,3,8,12,5,18,6,17,19,24,20,18,11
FEDXA10,M,1.0,15,7,5,23,2,9,12,6,7,8,9,6,10,17,16,11,9
FEDXA11,M,1.0,33,17,8,8,19,18,29,29,29,28,26,25,35,37,46,38,37
FEDXA12,M,1.0,17,24,13,19,22,21,17,19,22,23,13,21,31,27,21,15,14
FEDXB01,F,2.0,12,14,5,13,18,7,10,14,16,11,16,23,32,35,32,38,24
FEDXB02,F,2.0,25,30,6,12,7,9,1,3,8,5,36,59,68,22,27,21,16
FEDXB03,F,2.0,17,30,4,22,19,19,19,24,11,6,21,29,43,48,32,28,29
FEDXB04,F,2.0,15,5,14,12,12,11,5,6,6,8,35,49,48,44,42,31,17
FEDXB05,F,2.0,25,23,8,5,9,7,9,14,28,23,29,52,28,35,26,18,23
FEDXB06,F,2.0,13,4,2,17,22,17,11,11,16,8,21,15,25,35,24,13,21
FEDXB07,F,1.0,33,6,11,8,2,16,12,6,19,11,9,21,18,17,21,29,15
FEDXB08,F,1.0,21,6,2,1,3,2,5,7,7,2,15,11,3,6,4,9,8
FEDXB10,F,1.0,29,24,17,13,30,31,38,32,41,19,24,25,31,34,29,33,46
FEDXB11,F,1.0,8,9,8,33,53,51,50,36,39,31,41,65,36,40,38,40,51
FEDXB12,F,1.0,13,2,1,2,2,5,2,6,0,0,7,3,5,2,7,3,6
