order,sex,diet,hour,mean_pellet_intake,sd_pellet_intake,Comparison
1,F,PR,19,0.371428571428571,0.423782770691181,NR
1,F,NR,20,0.428571428571429,0.440315285926355,PR
1,F,PR,20,0.485714285714286,0.328881840949181,PR
1,F,NR,21,0.314285714285714,0.234738238930785,NR
1,F,PR,21,0.257142857142857,0.274791200881019,NR
1,F,NR,22,0.542857142857143,0.421368034392932,NR
1,F,PR,22,0.257142857142857,0.186262925862933,NR
1,F,NR,23,0.4,0.119522860933439,PR
1,F,PR,23,0.428571428571429,0.484452141651805,PR
1,M,NR,0,0.238095238095238,0.147542222712663,NR
1,M,PR,0,0.19047619047619,0.116642368703961,NR
1,M,NR,1,0.142857142857143,0.15649215928719,PR
1,M,PR,1,0.285714285714286,0.239045721866879,PR
1,M,NR,2,0.142857142857143,0.127775312999988,NR
1,M,PR,2,0.119047619047619,0.107538950387012,NR
1,M,NR,3,0.404761904761905,0.140456011464311,NR
1,M,PR,3,0.0238095238095238,0.0583211843519804,NR
1,M,NR,4,0.30952380952381,0.210280020626853,NR
1,M,PR,4,0.119047619047619,0.107538950387012,NR
1,M,NR,5,0.333333333333333,0.215077900774023,PR
1,M,PR,5,0.380952380952381,0.295084445425327,PR
1,M,NR,6,0.238095238095238,0.195180014589707,NR
1,M,PR,6,0.142857142857143,0.18070158058105,NR
1,M,NR,7,0.0714285714285714,0.119522860933439,PR
1,M,PR,7,0.19047619047619,0.173008591662714,PR
1,M,NR,8,0.285714285714286,0.18070158058105,NR
1,M,PR,8,0.214285714285714,0.149829835452879,NR
1,M,NR,9,0.166666666666667,0.167006456350002,PR
1,M,PR,9,0.261904761904762,0.167006456350002,PR
1,M,NR,10,0.404761904761905,0.0583211843519804,NR
1,M,PR,10,0.30952380952381,0.167006456350002,NR
1,M,NR,11,0.571428571428571,0.127775312999988,NR
1,M,PR,11,0.476190476190476,0.233284737407922,NR
1,M,NR,12,0.452380952380952,0.210280020626854,PR
1,M,PR,12,0.595238095238095,0.262121122752817,PR
1,M,NR,13,0.285714285714286,0.239045721866879,NR
1,M,PR,13,0.214285714285714,0.401527694930148,NR
1,M,NR,14,0.476190476190476,0.334012912700003,NR
1,M,PR,14,0.333333333333333,0.346017183325428,NR
1,M,NR,15,0.666666666666667,0.295084445425327,NR
1,M,PR,15,0.404761904761905,0.210280020626853,NR
1,M,NR,16,0.642857142857143,0.282120252259021,NR
1,M,PR,16,0.476190476190476,0.280912022928621,NR
1,M,NR,17,0.69047619047619,0.262121122752817,NR
1,M,PR,17,0.547619047619048,0.305282293806183,NR
1,M,NR,18,0.428571428571429,0.221313334068995,NR
1,M,PR,18,0.404761904761905,0.305282293806183,NR
1,M,NR,19,0.285714285714286,0.18070158058105,PR
1,M,PR,19,0.380952380952381,0.215077900774023,PR
1,M,NR,20,0.357142857142857,0.267261241912424,PR
1,M,PR,20,0.666666666666667,0.215077900774023,PR
1,M,NR,21,0.452380952380952,0.189880019403589,NR
1,M,PR,21,0.404761904761905,0.318371707627558,NR
1,M,NR,22,0.30952380952381,0.246057346338358,NR
1,M,PR,22,0.285714285714286,0.127775312999988,NR
1,M,NR,23,0.5,0.309706905552554,NR
1,M,PR,23,0.30952380952381,0.107538950387012,NR
2,F,NR,0,0.357142857142857,0.322616851161035,NR
2,F,PR,0,0.119047619047619,0.107538950387012,NR
2,F,NR,1,0.119047619047619,0.107538950387012,NR
2,F,PR,1,0.0238095238095238,0.0583211843519804,NR
2,F,NR,2,0.19047619047619,0.173008591662714,NR
2,F,PR,2,0.0238095238095238,0.0583211843519804,NR
2,F,NR,3,0.19047619047619,0.173008591662714,NR
2,F,PR,3,0.0238095238095238,0.0583211843519804,NR
2,F,NR,4,0.142857142857143,0.18070158058105,Equal
2,F,PR,4,0.142857142857143,0.18070158058105,Equal
2,F,NR,5,0.0714285714285714,0.0782460796435952,Equal
2,F,PR,5,0.0714285714285714,0.119522860933439,Equal
2,F,NR,6,0.119047619047619,0.107538950387012,NR
2,F,PR,6,0.0714285714285714,0.0782460796435952,NR
2,F,NR,7,0.119047619047619,0.107538950387012,NR
2,F,PR,7,0.0714285714285714,0.119522860933439,NR
2,F,NR,8,0.0952380952380952,0.116642368703961,NR
2,F,PR,8,0.0476190476190476,0.0737711113563317,NR
2,F,NR,9,0.119047619047619,0.107538950387012,Equal
2,F,PR,9,0.119047619047619,0.107538950387012,Equal
2,F,NR,10,0.0952380952380952,0.173008591662714,NR
2,F,PR,10,0.0238095238095238,0.0583211843519804,NR
2,F,NR,11,0.30952380952381,0.377063483711031,NR
2,F,PR,11,0.142857142857143,0.127775312999988,NR
2,F,NR,12,0.476190476190476,0.492114692676717,NR
2,F,PR,12,0.238095238095238,0.250170010220261,NR
2,F,NR,13,0.357142857142857,0.369776545872708,NR
2,F,PR,13,0.119047619047619,0.107538950387012,NR
2,F,NR,14,0.642857142857143,0.540219154319687,NR
2,F,PR,14,0.119047619047619,0.0583211843519804,NR
2,F,NR,15,0.738095238095238,0.305282293806183,NR
2,F,PR,15,0.214285714285714,0.149829835452879,NR
2,F,NR,16,0.785714285714286,0.411567436882512,NR
2,F,PR,16,0.166666666666667,0.167006456350002,NR
2,F,NR,17,0.666666666666667,0.569042637953892,NR
2,F,PR,17,0.333333333333333,0.308606699924184,NR
2,F,NR,18,0.619047619047619,0.410740164816149,NR
2,F,PR,18,0.238095238095238,0.0737711113563317,NR
2,F,NR,19,0.476190476190476,0.233284737407922,NR
2,F,PR,19,0.214285714285714,0.196914982172717,NR
2,F,NR,20,0.19047619047619,0.215077900774023,PR
2,F,PR,20,0.285714285714286,0.255550625999976,PR
2,F,NR,21,0.380952380952381,0.295084445425327,NR
2,F,PR,21,0.166666666666667,0.107538950387012,NR
2,F,NR,22,0.428571428571429,0.393829964345435,NR
2,F,PR,22,0.166666666666667,0.210280020626853,NR
2,F,NR,23,0.523809523809524,0.390360029179413,NR
2,F,PR,23,0.214285714285714,0.174963553055941,NR
2,M,NR,0,0.380952380952381,0.265985524643218,NR
2,M,PR,0,0.214285714285714,0.119522860933439,NR
2,M,NR,1,0.523809523809524,0.295084445425327,NR
2,M,PR,1,0.0952380952380952,0.116642368703961,NR
2,M,NR,2,0.238095238095238,0.173008591662714,Equal
2,M,PR,2,0.238095238095238,0.147542222712663,Equal
2,M,NR,3,0.428571428571429,0.285714285714286,NR
2,M,PR,3,0.214285714285714,0.149829835452879,NR
2,M,NR,4,0.619047619047619,0.346017183325428,NR
2,M,PR,4,0.19047619047619,0.173008591662714,NR
2,M,NR,5,0.571428571428571,0.15649215928719,NR
2,M,PR,5,0.261904761904762,0.189880019403589,NR
2,M,NR,6,0.30952380952381,0.246057346338358,NR
2,M,PR,6,0.238095238095238,0.195180014589707,NR
2,M,NR,7,0.380952380952381,0.280912022928621,NR
2,M,PR,7,0.142857142857143,0.127775312999988,NR
2,M,NR,8,0.285714285714286,0.239045721866879,Equal
2,M,PR,8,0.285714285714286,0.239045721866879,Equal
2,M,NR,9,0.214285714285714,0.174963553055941,NR
2,M,PR,9,0.166666666666667,0.140456011464311,NR
2,M,NR,10,0.30952380952381,0.107538950387012,NR
2,M,PR,10,0.261904761904762,0.140456011464311,NR
2,M,NR,11,0.571428571428571,0.271052370871575,NR
2,M,PR,11,0.261904761904762,0.140456011464311,NR
2,M,NR,12,0.428571428571429,0.239045721866879,NR
2,M,PR,12,0.214285714285714,0.119522860933439,NR
2,M,NR,13,0.428571428571429,0.3614031611621,NR
2,M,PR,13,0.0714285714285714,0.119522860933439,NR
2,M,NR,14,1.26190476190476,0.696443833776595,NR
2,M,PR,14,0.261904761904762,0.189880019403589,NR
2,M,NR,15,1.35714285714286,0.765319727770221,NR
2,M,PR,15,0.404761904761905,0.277255745295422,NR
2,M,NR,16,1.52380952380952,0.674108128349958,NR
2,M,PR,16,0.238095238095238,0.346017183325428,NR
2,M,NR,17,1.35714285714286,0.604405594323034,NR
2,M,PR,17,0.357142857142857,0.309706905552554,NR
2,M,NR,18,1.0952380952381,0.500340020440522,NR
2,M,PR,18,0.238095238095238,0.173008591662714,NR
2,M,NR,19,0.761904761904762,0.40067969462786,NR
2,M,PR,19,0.238095238095238,0.147542222712663,NR
2,M,NR,20,0.642857142857143,0.216653584115759,NR
2,M,PR,20,0.142857142857143,0.127775312999988,NR
2,M,NR,21,0.642857142857143,0.149829835452879,NR
2,M,PR,21,0.214285714285714,0.174963553055941,NR
2,M,NR,22,0.595238095238095,0.277255745295422,NR
2,M,PR,22,0.285714285714286,0.18070158058105,NR
2,M,NR,23,0.738095238095238,0.481635535561535,NR
2,M,PR,23,0.238095238095238,0.195180014589707,NR
